word,count
declare,218
declared,140
police,2702
decision,1299
diminish,55
110,217
Gun,10
111,187
112,196
museo,3
Museo,3
arte,4
Arte,4
113,207
master,492
Master,138
calamarca,1
Calamarca,1
José,6
lopez,1
Lopez,1
du,291
los,44
rios,1
Rios,1
114,188
lake,227
Lake,69
titicaca,1
Titicaca,1
1684,67
115,199
116,208
nacional,3
Nacional,3
117,184
aside,288
Aside,6
deal,1569
dealing,188
VBN,10943
been,10903
VDG,1837
doing,1929
major,1542
ways,484
depart,56
departed,23
model,1017
models,175
notion,498
notions,48
excellence,22
118,189
There,4047
peripheral,63
insertion,43
insertions,5
border,248
borders,23
flower,515
flowers,282
tropical,286
bird,571
birds,252
populate,27
background,406
landscape,153
landscapes,12
119,195
Or,690
survival,175
survivals,2
colour,942
liking,51
flat,907
intense,122
colours,141
local,2194
earth,483
vegetable,110
dye,34
dyes,3
back,10382
ancient,230
textile,37
such,6701
paracas,1
Paracas,1
120,279
Also,135
intensification,8
compare,612
compared,325
121,182
122,199
dispute,326
Disputes,6
themselves,1534
antecedent,6
antecedents,2
subsequent,284
debate,486
debates,35
indigenism,2
day,6224
days,1082
123,188
1688,71
guild,29
split,372
124,198
immediate,345
working,1409
masters,39
complain,184
complained,58
mistreatment,9
125,221
admit,674
admitted,316
guilt,111
agreement,419
reach,1015
reached,463
side,3278
sides,182
move,2804
moved,618
apart,579
126,179
tighten,39
tightened,13
rule,1157
rules,335
style,727
127,178
lose,1478
lost,927
contact,643
development,1269
developments,84
inspiration,100
styles,41
taste,384
tastes,39
mixture,257
ornamental,21
stylisation,2
observation,232
reality,354
128,182
Their,329
belong,284
archaic,22
viewed,64
realm,73
mundane,30
129,167
argument,1071
possibility,614
official,748
unofficial,36
subversive,35
130,228
given,1575
exist,497
exists,109
131,178
situation,1169
situations,130
colonised,13
cultural,399
assaulted,12
132,164
eduardo,4
Eduardo,4
mondlane,1
Mondlane,1
african,147
African,126
carver,20
carvers,1
nineteenth,215
twentieth,172
mozambique,11
Mozambique,11
imposed,119
133,186
When,1556
makonde,2
departs,6
stereotype,56
nearly,1121
element,1096
doubt,969
defiance,40
worked,418
madonna,25
demon,27
hold,2485
instead,1029
christ,166
Christ,162
Child,13
foot,1198
feet,538
wild,339
pietà,2
sorrow,39
revenge,83
mother,2159
raise,748
raising,142
spear,65
body,2032
dead,1160
134,167
magazine,338
Magazine,12
advertisement,90
feature,729
featuring,16
botero,2
Botero,2
135,186
Such,315
startlingly,10
demonstrate,343
general,2427
equate,33
equated,12
136,189
intriguing,33
syncretisation,2
relationship,1082
whereby,102
reduce,771
reduced,310
